review_id,customer_id,product_id,order_id,rating,review_title,review_text,is_verified_purchase,created_at
56,104,17,163,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-02-13 00:25:58+00
57,105,32,165,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-04-03 08:20:40+00
58,108,23,171,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-12-27 18:06:09+00
59,118,29,184,2,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2025-11-18 20:47:32+00
60,119,29,186,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-09-06 16:37:55+00
61,121,10,190,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-12-21 01:35:43+00
62,121,20,191,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2025-02-01 04:00:43+00
63,124,12,196,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-01-26 03:19:57+00
64,127,3,202,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-08-08 09:34:23+00
65,129,9,206,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-06-11 13:42:34+00
66,130,6,207,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-06-05 11:30:17+00
67,133,1,211,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-10-03 08:45:53+00
68,138,21,219,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-12-23 20:42:48+00
69,140,20,223,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-10-12 09:23:19+00
70,140,36,225,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-12-10 05:01:19+00
71,143,21,230,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-05-13 04:29:46+00
72,144,5,232,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-04-14 00:27:59+00
73,145,30,233,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-11-02 02:42:11+00
74,146,2,234,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-06-03 12:39:40+00
75,146,20,236,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2024-08-31 18:36:40+00
76,151,13,243,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-06-02 07:07:37+00
77,155,13,251,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-02-15 03:00:39+00
78,157,24,254,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-03-22 20:07:53+00
79,157,12,255,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-04-18 22:23:53+00
80,161,26,262,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-05-18 17:36:48+00
81,162,26,263,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-10-25 15:27:56+00
82,162,23,264,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-12-28 23:31:56+00
83,162,32,266,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2026-01-10 00:46:56+00
84,165,32,270,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-08-02 11:07:28+00
85,166,12,272,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-11-22 01:32:05+00
86,167,9,274,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-03-22 21:22:17+00
87,168,24,275,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-06-20 03:25:34+00
88,168,5,276,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-07-21 11:56:34+00
89,169,5,278,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-06-03 21:43:01+00
90,169,13,279,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-07-26 00:25:01+00
91,170,31,280,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-10-26 09:14:37+00
92,170,36,281,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-10-22 13:26:37+00
93,175,25,288,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-04-15 04:27:17+00
94,176,12,290,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-10-04 06:06:16+00
95,180,26,294,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-06-16 18:04:43+00
96,182,13,300,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-10-18 09:21:09+00
97,183,16,305,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-04-19 19:22:31+00
98,184,38,309,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-05-09 09:42:52+00
99,184,26,310,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-06-30 18:14:52+00
100,184,38,311,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-07-15 19:29:52+00
101,184,14,312,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-08-12 07:28:52+00
102,184,1,315,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2026-01-02 07:06:52+00
103,186,17,318,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-12-01 02:39:25+00
104,187,16,320,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-08-28 03:34:43+00
105,189,35,323,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2024-02-19 13:40:29+00
106,189,31,324,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-04-15 23:29:29+00
107,191,32,328,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2024-10-24 13:31:28+00
108,194,19,333,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-10-17 21:40:38+00
109,196,16,336,1,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2024-07-15 06:25:21+00
110,197,23,337,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-11-16 10:19:55+00
111,204,7,349,1,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2024-12-05 12:33:38+00
112,205,14,350,1,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2024-10-06 11:40:15+00
113,205,26,351,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-12-11 09:54:15+00
114,207,11,354,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-02-22 11:46:21+00
115,208,8,355,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-05-13 21:32:23+00
116,208,21,356,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-06-22 02:41:23+00
117,209,18,357,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-08-05 08:59:06+00
118,213,18,365,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-04-25 18:45:27+00
119,218,35,371,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-12-06 07:01:01+00
120,219,29,372,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-11-09 04:08:58+00
121,220,3,373,1,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2024-04-12 04:02:52+00
122,223,36,376,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2025-08-15 01:47:42+00
123,224,6,379,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-02-03 12:27:14+00
124,226,14,381,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-11-08 08:03:41+00
125,230,4,386,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-10-06 16:00:39+00
126,231,8,391,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-07-16 19:41:45+00
127,239,17,401,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-05-29 21:33:47+00
128,241,10,404,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-08-27 07:10:25+00
129,243,26,407,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-08-04 13:23:05+00
130,245,19,410,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-08-29 05:13:58+00
131,246,24,411,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-07-23 02:28:24+00
132,249,24,416,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2026-02-10 11:07:43+00
133,250,1,418,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-04-12 18:07:05+00
134,251,29,419,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-12-12 01:26:30+00
135,251,13,420,1,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-01-22 01:17:30+00
136,252,31,421,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-09-07 12:15:41+00
137,257,8,435,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-08-26 15:52:22+00
138,258,12,436,1,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2025-09-23 20:57:28+00
139,259,2,438,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-06-13 22:42:11+00
140,259,23,439,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-08-06 06:06:11+00
141,260,35,440,1,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-03-04 00:28:57+00
142,262,7,446,1,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-10-27 18:01:45+00
143,263,6,447,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-04-18 03:08:12+00
144,268,1,459,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-08-14 09:14:35+00
145,270,5,463,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-09-28 08:35:04+00
146,276,35,469,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-04-06 21:33:15+00
147,276,12,472,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-07-11 15:48:15+00
148,277,37,474,2,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2024-12-19 08:53:08+00
149,286,20,489,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-08-17 22:44:25+00
150,287,35,493,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-03-25 13:36:38+00
151,290,29,500,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-09-26 07:08:54+00
152,292,5,503,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-07-28 09:37:19+00
153,293,5,506,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-02-11 07:55:59+00
154,297,24,513,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-03-17 11:55:39+00
155,298,10,515,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-03-30 16:38:36+00
156,301,26,520,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-09-22 00:18:58+00
157,304,4,523,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-01-25 17:29:46+00
158,304,4,525,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-03-26 02:57:46+00
159,304,20,526,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-04-05 13:36:46+00
160,305,24,529,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-12-09 15:35:11+00
161,307,3,531,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-05-03 14:36:58+00
162,309,3,534,1,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-06-17 15:23:50+00
163,309,29,535,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-07-08 03:34:50+00
164,309,37,536,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-08-03 13:24:50+00
165,310,35,537,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2024-10-06 07:03:28+00
166,312,9,540,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-11-05 22:30:19+00
167,316,35,544,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2024-07-08 13:36:06+00
168,321,17,549,1,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2024-10-02 08:06:26+00
169,326,18,555,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-11-23 15:08:40+00
170,327,13,559,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2024-07-30 09:22:11+00
171,328,21,560,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-12-02 03:16:04+00
172,330,8,562,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-09-13 02:10:18+00
173,331,6,565,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-06-22 03:22:12+00
174,333,28,567,1,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2024-11-01 07:33:47+00
175,335,1,574,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-12-23 08:12:58+00
176,339,2,581,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-03-21 22:56:43+00
177,339,24,582,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-04-10 03:32:43+00
178,339,27,585,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-08-10 15:38:43+00
179,340,7,586,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-09-11 07:50:31+00
180,341,38,587,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2024-03-08 22:35:16+00
181,342,7,588,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-03-13 09:53:35+00
182,343,24,589,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-05-20 05:25:22+00
183,344,12,594,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-08-21 02:32:37+00
184,347,24,599,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2024-02-10 08:43:24+00
185,349,6,603,2,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2025-06-23 10:06:56+00
186,351,35,606,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-12-27 09:02:07+00
187,354,19,611,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-09-08 20:45:48+00
188,359,19,616,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-12-18 16:33:06+00
189,360,15,619,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-10-05 15:04:29+00
190,360,21,620,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2024-10-11 19:25:29+00
191,362,5,623,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-08-08 08:21:20+00
192,367,31,629,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-06-04 09:00:06+00
193,367,17,630,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-07-14 14:35:06+00
194,368,26,632,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-05-15 23:15:36+00
195,369,8,636,1,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-09-13 21:47:58+00
196,369,28,640,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-12-17 19:39:58+00
197,371,20,643,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-12-31 06:30:05+00
198,371,4,644,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2026-02-08 06:58:05+00
199,372,2,646,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-01-29 13:17:49+00
200,375,25,649,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2025-11-06 02:25:34+00
201,376,17,650,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-07-12 22:00:59+00
202,377,19,651,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-04-02 07:52:10+00
203,378,18,654,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-05-18 00:51:06+00
204,378,32,655,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-06-07 12:45:06+00
205,381,22,660,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-04-11 01:13:58+00
206,381,8,661,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-04-28 10:50:58+00
207,383,24,663,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-04-17 01:58:14+00
208,389,2,672,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-06-23 02:43:34+00
209,393,6,678,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-01-29 14:58:48+00
210,395,33,682,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-10-20 11:42:49+00
211,400,35,689,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-12-27 00:05:06+00
212,403,33,694,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-12-13 18:05:19+00
213,404,4,697,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-12-03 01:09:44+00
214,406,34,706,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2024-07-29 12:21:03+00
215,407,2,707,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-06-25 21:56:30+00
216,408,34,708,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-05-11 01:34:40+00
217,414,33,716,1,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-06-19 20:57:49+00
218,415,24,718,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-12-15 08:48:00+00
219,416,8,719,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2024-04-19 05:11:09+00
220,417,24,723,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2025-03-25 18:48:18+00
221,417,31,725,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-04-12 11:03:18+00
222,417,4,726,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-06-07 16:56:18+00
223,418,33,728,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-09-12 09:50:36+00
